"№";"Изображение";"Имя";"Номер заказа";"Категория";"Базовая цена";"Итоговая Цена";"Количество";"Статус";
"363";"http://citymotors.com.ua/img/p/7/4/9/749.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 70,1-63,4";"HCR701-63,4";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"541";"http://citymotors.com.ua/img/p/1/2/5/9/1259.jpg";"Колпачки для колесных гаек и болтов 17";"HEX17(Red)";"Колпачки на колесные гайки/болты";"14.000000";"14";"10";"1";
"755";"http://citymotors.com.ua/img/p/1/6/1/4/1614.jpg";"Techline 1502BD W6 PCD5x114.3 ET40 DIA67.1";"TL1502BDW6PCD5x114.3ET40DIA67.1";"Диски";"55.460672";"66.55";"12";"1";
"130";"http://citymotors.com.ua/img/p/2/5/4/254.jpg";"ГАЙКА M12X1,25X22 ХРОМ КОНУС КЛЮЧ 19ММ";"402244 Cr";"Гайки и болты";"15.000000";"15";"100";"0";
"306";"http://citymotors.com.ua/img/p/6/3/1/631.jpg";"Гайки секретные M12X1,5X32 Конус кл.19-21мм";"206445";"Секретки на колеса";"14.000000";"14";"10";"1";
"485";"http://citymotors.com.ua/img/p/1/1/1/5/1115.jpg";" Щетка стеклоочистителя HEYNER HYBRID  Graphit 700 мм бескаркасная (дворники)";"038ART";"Дворники";"9.600000";"9.6";"5";"1";
"699";"http://citymotors.com.ua/img/p/1/5/5/3/1553.jpg";"Techline 1404S  W5.5 PCD4x98 ET35 DIA58.6";"TL1404SW5.5PCD4x98ET35DIA58.6";"Диски";"50.306334";"60.36";"12";"1";
"875";"http://citymotors.com.ua/img/p/1/7/3/4/1734.jpg";"Techline 717BD W7.5 PCD5x114.3 ET35 DIA67.1";"TL717BDW7.5PCD5x114.3ET35DIA67.1";"Диски";"90.716340";"108.85";"12";"1";
"72";"http://citymotors.com.ua/img/p/1/4/7/147.jpg";"БОЛТ M12X1,5X62 ЦИНК СФЕРА КЛЮЧ 17 ММ";"085244 Z";"Гайки и болты";"1.520000";"1.52";"100";"1";
"250";"http://citymotors.com.ua/img/p/4/8/8/488.jpg";"Болты секретные M12X1,5X40 Хром Сфера Вр.кольцо кл.17-19мм";"385157Х2";"Секретки на колеса";"15.000000";"15";"1";"1";
"428";"http://citymotors.com.ua/img/p/8/8/7/887.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 75,0-65,1";"HCR750-651";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"606";"http://citymotors.com.ua/img/p/1/4/4/3/1443.jpg";"Колпачки заглушки для литых дисков 45мм";"45";"Колпачки для литых дисков";"2.600000";"2.6";"10";"1";
"819";"http://citymotors.com.ua/img/p/1/6/7/8/1678.jpg";"Techline 637BD W6.5 PCD5x114.3 ET45 DIA67.1";"TL637BDW6.5PCD5x114.3ET45DIA67.1";"Диски";"71.905373";"86.28";"12";"1";
"11";"http://citymotors.com.ua/img/p/3/1/31.jpg";"БОЛТ M12X1,25X30 ЦИНК КОНУС КЛЮЧ 17 ММ";"072120 V";"Гайки и болты";"17.000000";"17";"200";"0";
"194";"http://citymotors.com.ua/img/p/3/7/8/378.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 72,6-64,1";"HCR726-641";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"371";"http://citymotors.com.ua/img/p/7/6/9/769.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 70,4-56,6";"HCR704-566";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"549";"http://citymotors.com.ua/img/p/1/2/8/8/1288.jpg";"Колпачки для колесных гаек и болтов 19";"HEX19(Blue)";"Колпачки на колесные гайки/болты";"14.000000";"14";"10";"1";
"763";"http://citymotors.com.ua/img/p/1/6/2/2/1622.jpg";"Techline 531BD W6 PCD4x100 ET48 DIA54.1";"TL531BDW6PCD4x100ET48DIA54.1";"Диски";"60.669863";"72.8";"12";"1";
"138";"http://citymotors.com.ua/img/p/2/6/5/265.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 60,1-58,1";"HCR601-581";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"314";"http://citymotors.com.ua/img/p/6/5/1/651.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 56,1-54,1";"HCR561-541";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"493";"http://citymotors.com.ua/img/p/1/1/4/1/1141.jpg";"Проставка колесная 6мм. 5x150 110,5";"6SP 5x150 110,5 ";"Проставки";"18.800000";"18.8";"20";"1";
"707";"http://citymotors.com.ua/img/p/1/5/6/6/1566.jpg";"Techline 509S W6 PCD4x114.3 ET45 DIA67.1";"TL509SW6PCD4x114.3ET45DIA67.1";"Диски";"63.501438";"76.2";"12";"1";
"883";"http://citymotors.com.ua/img/p/1/7/4/2/1742.jpg";"Techline 727BD W7 PCD5x114.3 ET41 DIA67.1";"TL727BDW7PCD5x114.3ET41DIA67.1";"Диски";"94.839810";"113.8";"12";"1";
"82";"http://citymotors.com.ua/img/p/1/6/6/166.jpg";"БОЛТ M14X1,25X29 ХРОМ КОНУС КЛЮЧ 17 ММ";"177115 Cr";"Гайки и болты";"34.000000";"34";"100";"0";
"258";"http://citymotors.com.ua/img/p/5/1/0/510.jpg";"Болты секретные M12X1,5X28 Тройной никель/хром Вр.кольцо кл.17-19мм";"675110Х2";"Секретки на колеса";"31.960000";"31.96";"1";"1";
"436";"http://citymotors.com.ua/img/p/9/0/3/903.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 76,0-63,4";"HCR760-634";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"614";"http://citymotors.com.ua/img/p/1/4/5/1/1451.jpg";"Колпачки заглушки для литых дисков 60мм";"60";"Колпачки для литых дисков";"2.850000";"2.85";"10";"1";
"827";"http://citymotors.com.ua/img/p/1/6/8/6/1686.jpg";"Techline 642GRD W6.5 PCD5x105 ET39 DIA56.6";"TL642GRDW6.5PCD5x105ET39DIA56.6";"Диски";"76.397685";"91.67";"12";"1";
"22";"http://citymotors.com.ua/img/p/5/2/52.jpg";"БОЛТ M14X1,5X28 ЦИНК КОНУС КЛЮЧ 17 ММ";"074110 Z";"Гайки и болты";"1.000000";"1";"100";"1";
"202";"http://citymotors.com.ua/img/p/3/9/4/394.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 73,1-57,1";"HCR731-571";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"379";"http://citymotors.com.ua/img/p/7/9/3/793.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 71,6-66,1";"HCR716-661";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"557";"http://citymotors.com.ua/img/p/1/3/1/0/1310.jpg";"Колпачки для колесных гаек и болтов 21";"HEX21(Tai)";"Колпачки на колесные гайки/болты";"14.000000";"14";"10";"1";
"771";"http://citymotors.com.ua/img/p/1/6/3/0/1630.jpg";"Techline 537BD W6 PCD4x114.3 ET45 DIA67.1";"TL537BDW6PCD4x114.3ET45DIA67.1";"Диски";"59.856518";"71.82";"12";"1";
"146";"http://citymotors.com.ua/img/p/2/8/2/282.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 65,1-56,6";"HCR651-566";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"322";"http://citymotors.com.ua/img/p/6/6/8/668.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 64,1-57,1";"HCR641-571";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"501";"http://citymotors.com.ua/img/p/1/1/6/0/1160.jpg";"Проставка колесная 5мм 5х112 66.6 ";"5SP5112 66.6 ";"Проставки";"10.400000";"10.4";"20";"1";
"715";"http://citymotors.com.ua/img/p/1/5/7/4/1574.jpg";"Techline 509BD W6 PCD5x100 ET40 DIA57.1";"TL509BDW6PCD5x100ET40DIA57.1";"Диски";"63.501438";"76.2";"12";"1";
"891";"http://citymotors.com.ua/img/p/1/7/5/0/1750.jpg";"Techline 804S W8 PCD5x150 ET60 DIA110.1";"TL804SW8PCD5x150ET60DIA110.1";"Диски";"110.921343";"133.1";"12";"1";
"90";"http://citymotors.com.ua/img/p/1/8/1/181.jpg";"БОЛТ M14X1,5X30 ХРОМ КОНУС КЛЮЧ 19 ММ";"1974120 Cr";"Гайки и болты";"1.200000";"1.2";"20";"1";
"266";"http://citymotors.com.ua/img/p/5/2/6/526.jpg";"Болты секретные M12X1,5X40 Сфера Тройной никель/хром кл.17-19мм";"685157F2";"Секретки на колеса";"31.960000";"31.96";"1";"1";
"444";"http://citymotors.com.ua/img/p/9/1/9/919.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 76,0-74,1";"HCR760-741";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"835";"http://citymotors.com.ua/img/p/1/6/9/4/1694.jpg";"Techline 649S W7 PCD5x112 ET45 DIA57.1";"TL649SW7PCD5x112ET45DIA57.1";"Диски";"75.584340";"90.7";"12";"1";
"30";"http://citymotors.com.ua/img/p/6/6/66.jpg";"БОЛТ M14X1,5X60 ЦИНК КОНУС КЛЮЧ 17 ММ";"074235 Z";"Гайки и болты";"1.500000";"1.5";"100";"1";
"210";"http://citymotors.com.ua/img/p/8/4/0/840.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 73,1-67,1";"HCR731-671";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"387";"http://citymotors.com.ua/img/p/8/0/8/808.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 72,1-66,6";"HCR721-666";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"565";"http://citymotors.com.ua/img/p/1/3/3/1/1331.jpg";"Шпилька колесная забивная для Ford Daewoo M12x1.5x55";"СRP1303A55";"Шпильки";"1.480000";"1.48";"20";"1";
"779";"http://citymotors.com.ua/img/p/1/6/3/8/1638.jpg";"Techline 539S W6 PCD5x112 ET45 DIA57.1";"TL539SW6PCD5x112ET45DIA57.1";"Диски";"62.514075";"75.01";"12";"1";
"154";"http://citymotors.com.ua/img/p/6/8/7/687.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 67,1-56,1";"HCR671-561";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"330";"http://citymotors.com.ua/img/p/6/8/3/683.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 65,1-64,1";"HCR651-641";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"509";"http://citymotors.com.ua/img/p/1/1/7/6/1176.jpg";"Проставка колесная 5мм 4х114,3 67,1";"5SP4114,3 67,1";"Проставки";"19.200000";"19.2";"20";"1";
"723";"http://citymotors.com.ua/img/p/1/5/8/2/1582.jpg";"Techline 524BD W5.5 PCD4x100 ET46 DIA60.1";"TL524BDW5.5PCD4x100ET46DIA60.1";"Диски";"61.233530";"73.48";"12";"1";
"899";"http://citymotors.com.ua/img/p/1/7/6/0/1760.jpg";"Гайка M12*1,5*33 мм Ford (Вращ Конус) Хром Ключ 19";"341145 [Ford KK] (Cr)";"Гайки и болты";"1.500000";"1.5";"100";"1";
"98";"http://citymotors.com.ua/img/p/1/9/7/197.jpg";"БОЛТ M14X1,5X28 ХРОМ КОНУС КЛЮЧ ВН.ШЕСТИГРАННИК 12ММ";"274110 H Cr";"Гайки и болты";"0.880000";"0.88";"100";"1";
"274";"http://citymotors.com.ua/img/p/5/3/8/538.jpg";"Гайки секретные M12X1,25X32 Хром Конус Вр.кольцо кл.17-19мм";"416344Х2";"Секретки на колеса";"14.400000";"14.4";"1";"1";
"631";"http://citymotors.com.ua/img/p/1/4/9/0/1490.jpg";"Болты секретные Farad Sicubloc 14x1.5x28 конус";"AN428";"Секретки на колеса";"30.000000";"30";"100";"1";
"843";"http://citymotors.com.ua/img/p/1/7/0/2/1702.jpg";"Techline 652BD W7.5 PCD6x139.7 ET10 DIA110.1";"TL652BDW7.5PCD6x139.7ET10DIA1101";"Диски";"78.648570";"94.37";"12";"1";
"38";"http://citymotors.com.ua/img/p/8/0/80.jpg";"БОЛТ M12X1,5X60 ЦИНК КОНУС КЛЮЧ 17 ММ";"075235 Z";"Гайки и болты";"1.350000";"1.35";"100";"1";
"218";"http://citymotors.com.ua/img/p/4/2/6/426.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 74,1-67,1";"HCR741-671";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"395";"http://citymotors.com.ua/img/p/8/1/9/819.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 72,6-66,1";"HCR726-661";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"574";"http://citymotors.com.ua/img/p/1/3/4/9/1349.jpg";"Шпилька колесная забивная для Toyota, Hyundai, Mitsubishi M12x1.5x75";"СRP1430A75";"Шпильки";"1.560000";"1.56";"20";"1";
"787";"http://citymotors.com.ua/img/p/1/6/4/6/1646.jpg";"Techline 1502BD W6 PCD5x114.3 ET40 DIA67.1";"TL1502BDW6PCD5x114.3ET40DIA67.1";"Диски";"54.948075";"65.93";"12";"1";
"162";"http://citymotors.com.ua/img/p/3/1/4/314.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 67,1-65,1";"HCR671-651";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"338";"http://citymotors.com.ua/img/p/6/9/7/697.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 67,1-60,1";"HCR671-601";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"517";"http://citymotors.com.ua/img/p/1/1/9/2/1192.jpg";"Проставка колесная 12мм 5х112 57,1";"12SP5112100 57,1 Step";"Проставки";"32.000000";"32";"20";"1";
"731";"http://citymotors.com.ua/img/p/1/5/9/0/1590.jpg";"Techline 531BD W6 PCD4x100 ET48 DIA54.1";"TL531BDW6PCD4x100ET48DIA54.1";"Диски";"61.233530";"73.48";"12";"1";
"907";"http://citymotors.com.ua/img/p/1/8/2/2/1822.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 57,1-56,1";"HCR571-561";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"165";"http://citymotors.com.ua/img/p/3/1/9/319.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 69,1-57,1";"HCR691-571";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"341";"http://citymotors.com.ua/img/p/7/0/1/701.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 67,1-66,1";"HCR671-661";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"520";"http://citymotors.com.ua/img/p/1/1/9/8/1198.jpg";"Проставка колесная 12,4мм 5120 72.6";"12.4SP5120 72.6 Step";"Проставки";"32.000000";"32";"20";"1";
"734";"http://citymotors.com.ua/img/p/1/5/9/3/1593.jpg";"Techline 534S W5.5 PCD4x100 ET45 DIA54.1";"TL534SW5.5PCD4x100ET45DIA54.1";"Диски";"58.965621";"70.75";"12";"1";
"910";"http://citymotors.com.ua/img/p/1/8/2/5/1825.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 66,1-56,1";"HCR661-561";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"109";"http://citymotors.com.ua/img/p/2/1/9/219.jpg";"ГАЙКА M12X1,25X32 ХРОМ КОНУС КЛЮЧ 7ГРАННИК";"317344 Cr";"Гайки и болты";"18.000000";"18";"100";"0";
"285";"http://citymotors.com.ua/img/p/5/4/9/549.jpg";"Гайки секретные M12X1,5X32 Тройной никель/хром Сфера кл.19-21мм";"728345F2";"Секретки на колеса";"35.950000";"35.95";"1";"1";
"464";"http://citymotors.com.ua/img/p/1/0/2/0/1020.jpg";"Проставка колесная 13мм. (yниверс.) 54,1";"13SP (yниверс.) 54,1 Step";"Проставки";"18.800000";"18.8";"20";"1";
"678";"http://citymotors.com.ua/img/p/1/5/3/7/1537.jpg";"Techline 415BD  W5.5 PCD4x108 ET43 DIA63.4";"TL415BDW5.5PCD4x108ET43DIA63.4";"Диски";"51.749549";"62.09";"12";"1";
"854";"http://citymotors.com.ua/img/p/1/7/1/3/1713.jpg";"Techline 666S W6.5 PCD5x112 ET38 DIA57.1";"TL666SW6.5PCD5x112ET38DIA57.1";"Диски";"71.092028";"85.31";"12";"1";
"50";"http://citymotors.com.ua/img/p/1/0/2/102.jpg";"БОЛТ M14X1,5X27 ЦИНК СФЕРА ОБЛЕГЧЕННЫЙ КЛЮЧ 17 ММ";"084105 L";"Гайки и болты";"22.000000";"22";"100";"0";
"229";"http://citymotors.com.ua/img/p/4/4/7/447.jpg";"ГАЙКА M12X1,5X25 ХРОМ КОНУС КЛЮЧ 19ММ";"601145 Cr";"Гайки и болты";"0.640000";"0.64";"20";"1";
"407";"http://citymotors.com.ua/img/p/8/4/3/843.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 73,1-70,1";"HCR731-701";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"585";"http://citymotors.com.ua/img/p/1/3/7/6/1376.jpg";"Шпилька колесная забивная для Subaru, Suzuki, KIA, Nissan M12x1.25x65";"СRP1420B65";"Шпильки";"1.520000";"1.52";"20";"1";
"798";"http://citymotors.com.ua/img/p/1/6/5/7/1657.jpg";"Techline 1508BD W5.5 PCD4x100 ET45 DIA60.1";"TL1508BDW5.5PCD4x100ET45DIA60.1";"Диски";"58.553274";"70.26";"12";"1";
"173";"http://citymotors.com.ua/img/p/3/3/5/335.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 71,6-57,1";"HCR716-571";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"350";"http://citymotors.com.ua/img/p/7/2/0/720.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 69,1-58,1";"HCR691-581";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"528";"http://citymotors.com.ua/img/p/1/2/2/5/1225.jpg";"Шпилька колесная забивная для Honda M12x1.5x60";"СRP1203A60";"Шпильки";"1.520000";"1.52";"20";"1";
"742";"http://citymotors.com.ua/img/p/1/6/0/1/1601.jpg";"Techline 538BD W6 PCD4x98 ET38 DIA58.6";"TL538BDW6PCD4x98ET38DIA58.6";"Диски";"63.913785";"76.69";"12";"1";
"918";"http://citymotors.com.ua/img/p/1/8/3/5/1835.jpg";"Наклейка Audi D56 мм алюминий (Серебристый логотип на графитовом фоне)";"562142";" Наклейки на диски";"6.800000";"6.8";"100";"1";
"117";"http://citymotors.com.ua/img/p/2/3/1/231.jpg";"ГАЙКА M12X1,5X18 ЦИНК КОНУС КЛЮЧ 19ММ";"400045 Z";"Гайки и болты";"15.000000";"15";"100";"0";
"293";"http://citymotors.com.ua/img/p/5/5/8/558.jpg";"Гайки секретные M12X1,5X33 Конус Вр.кольцо кл.19-21мм";"416445X (L33)";"Секретки на колеса";"14.000000";"14";"10";"1";
"472";"http://citymotors.com.ua/img/p/1/0/4/2/1042.jpg";"Проставка колесная 15мм. (yниверс.) 67,1";"15SP (yниверс.) 67,1 Step";"Проставки";"18.800000";"18.8";"20";"1";
"686";"http://citymotors.com.ua/img/p/1/5/4/0/1540.jpg";"Techline 423GRD  W5.5 PCD4x100 ET49 DIA56.6";"TL423GRDW5.5PCD4x100ET49DIA56.6";"Диски";"54.429804";"65.31";"12";"1";
"862";"http://citymotors.com.ua/img/p/1/7/2/1/1721.jpg";"Techline 1604S W6.5 PCD4x108 ET31 DIA65.1";"TL1604SW6.5PCD4x108ET31DIA65.1";"Диски";"70.269225";"84.32";"12";"1";
"58";"http://citymotors.com.ua/img/p/1/2/1/121.jpg";"БОЛТ M14X1,5X55 ЦИНК СФЕРА КЛЮЧ 17 ММ";"084216 Z";"Гайки и болты";"1.280000";"1.28";"100";"1";
"237";"http://citymotors.com.ua/img/p/4/9/1/491.jpg";"Болты секретные M12X1,25X30 Хром Конус Вр.кольцо кл.17-19мм";"372120X2";"Секретки на колеса";"14.400000";"14.4";"1";"1";
"415";"http://citymotors.com.ua/img/p/8/6/1/861.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 74,1-65,1";"HCR741-651";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"593";"http://citymotors.com.ua/img/p/1/3/9/0/1390.jpg";"Шпилька колесная забивная для Nissan M12x1.25x65";"СRP1290B65";"Шпильки";"1.520000";"1.52";"20";"1";
"806";"http://citymotors.com.ua/img/p/1/6/6/5/1665.jpg";"Techline 618BD W6.5 PCD5x139.7 ET40 DIA98";"TL618BDW6.5PCD5x139.7ET40DIA98";"Диски";"75.584340";"90.7";"12";"1";
"181";"http://citymotors.com.ua/img/p/3/5/2/352.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 72,1-58,1";"HCR721-581";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"358";"http://citymotors.com.ua/img/p/7/3/7/737.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 69,1-67,1";"HCR691-671";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"536";"http://citymotors.com.ua/img/p/1/2/4/1/1241.jpg";"Шпилька колесная забивная для Honda M12x1.5x60";"СRP1230A60";"Шпильки";"1.520000";"1.52";"20";"1";
"750";"http://citymotors.com.ua/img/p/1/6/0/9/1609.jpg";"Techline 540BD W6 PCD5x100 ET40 DIA57.1";"TL540BDW6PCD5x100ET40DIA57.1";"Диски";"64.326132";"77.19";"12";"1";
"125";"http://citymotors.com.ua/img/p/2/4/7/247.jpg";"ГАЙКА M12X1,5X35 ХРОМ КОНУС КЛЮЧ 19ММ";"401445 Cr";"Гайки и болты";"0.720000";"0.72";"72";"1";
"301";"http://citymotors.com.ua/img/p/6/1/2/612.jpg";"Гайки секретные M12X1,5X33 Тройной никель/хром Конус Форд кл.19-21мм";"726445KKBC Ford";"Секретки на колеса";"28.000000";"28";"5";"1";
"480";"http://citymotors.com.ua/img/p/1/0/8/5/1085.jpg";" Щетка стеклоочистителя HEYNER HYBRID  Graphit 530 мм бескаркасная (дворники)";"031ART";"Дворники";"7.260000";"7.26";"10";"1";
"694";"http://citymotors.com.ua/img/p/1/5/4/8/1548.jpg";"Techline 435BD  W5.5 PCD4x100 ET43 DIA67.1";"TL435BDW5.5PCD4x100ET43DIA67.1";"Диски";"50.306334";"60.36";"12";"1";
"870";"http://citymotors.com.ua/img/p/1/7/2/9/1729.jpg";"Techline 708GRD W7.5 PCD5x112 ET35 DIA66.6";"TL708GRDW7.5PCD5x112ET35DIA66.6";"Диски";"94.839810";"113.8";"12";"1";
"67";"http://citymotors.com.ua/img/p/1/3/7/137.jpg";"БОЛТ M12X1,5X35 ЦИНК СФЕРА КЛЮЧ 17 ММ";"085137 Z";"Гайки и болты";"1.120000";"1.12";"100";"1";
"245";"http://citymotors.com.ua/img/p/4/7/8/478.jpg";"Болты секретные M12X1,5X28 Хром Конус Вр.кольцо кл.17-19мм";"375110X2";"Секретки на колеса";"14.400000";"14.4";"1";"1";
"423";"http://citymotors.com.ua/img/p/8/7/7/877.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 75,0-57,1";"HCR750-571";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"601";"http://citymotors.com.ua/img/p/1/4/0/6/1406.jpg";"Шпилька колесная забивная для Toyota и Lexus M14x1.5x70";"СRP1530D70";"Шпильки";"1.520000";"1.52";"20";"1";
"814";"http://citymotors.com.ua/img/p/1/6/7/3/1673.jpg";"Techline 619BD W6.5 PCD5x118 ET46 DIA71.1";"TL619BDW6.5PCD5x118ET46DIA71.1";"Диски";"76.397685";"91.67";"12";"1";
"189";"http://citymotors.com.ua/img/p/3/6/8/368.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 72,6-57,1";"HCR726-571";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"366";"http://citymotors.com.ua/img/p/7/5/9/759.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 70,1-66,1";"HCR701-661";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"544";"http://citymotors.com.ua/img/p/1/2/7/4/1274.jpg";"Колпачки для колесных гаек и болтов 17";"HEX17(Tai)";"Колпачки на колесные гайки/болты";"14.000000";"14";"10";"1";
"758";"http://citymotors.com.ua/img/p/1/6/1/7/1617.jpg";"Techline 1505BD W6 PCD5x100 ET38 DIA57.1";"TL1505BDW6PCD5x100ET38DIA57.1";"Диски";"58.965621";"70.75";"12";"1";
"133";"http://citymotors.com.ua/img/p/2/5/7/257.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 57,1-54,1";"HCR571-541";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"309";"http://citymotors.com.ua/img/p/7/4/7/747.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 70,1-63,4";"HCR701-63,4";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"488";"http://citymotors.com.ua/img/p/1/1/3/1/1131.jpg";"Проставка колесная 15мм. (yниверс.) 57,1";"15SP (yниверс.) 57,1 Step";"Проставки";"18.800000";"18.8";"20";"1";
"702";"http://citymotors.com.ua/img/p/1/5/5/6/1556.jpg";"Techline 1404S  W5.5 PCD4x100 ET35 DIA67.1";"TL1404SW5.5PCD4x100ET35DIA67.1";"Диски";"50.306334";"60.36";"12";"1";
"878";"http://citymotors.com.ua/img/p/1/7/3/7/1737.jpg";"Techline 720BD W6.5 PCD5x114.3 ET40 DIA66.1";"TL720BDW6.5PCD5x114.3ET40DIA66.1";"Диски";"92.778075";"111.33";"12";"1";
"77";"http://citymotors.com.ua/img/p/1/5/4/154.jpg";"БОЛТ M12X1,25X28 ХРОМ КОНУС КЛЮЧ 17 ММ";"172110 Cr";"Гайки и болты";"0.800000";"0.8";"20";"1";
"253";"http://citymotors.com.ua/img/p/5/0/0/500.jpg";"Болты секретные M14X1,5X28 Тройной никель/хром кл.17-19мм";"264110F2";"Секретки на колеса";"20.000000";"20";"1";"1";
"431";"http://citymotors.com.ua/img/p/8/9/3/893.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 75,0-67,1";"HCR750-671";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"822";"http://citymotors.com.ua/img/p/1/6/8/1/1681.jpg";"Techline 639S W6.5 PCD5x114.3 ET40 DIA66.1";"TL639SW6.5PCD5x114.3ET40DIA66.1";"Диски";"76.397685";"91.67";"12";"1";
"14";"http://citymotors.com.ua/img/p/3/8/38.jpg";"БОЛТ M12X1,25X42 ЦИНК КОНУС С ВЫСТУПОМ  КЛЮЧ 17 ММ";"072165 Z";"Гайки и болты";"1.380000";"1.38";"200";"1";
"197";"http://citymotors.com.ua/img/p/3/8/4/384.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 72,6-66,6";"HCR726-666";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"374";"http://citymotors.com.ua/img/p/7/7/6/776.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 71,6-56,1";"HCR716-561";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"552";"http://citymotors.com.ua/img/p/1/2/9/4/1294.jpg";"Колпачки для колесных гаек и болтов 19";"HEX19(Black)";"Колпачки на колесные гайки/болты";"14.000000";"14";"10";"1";
"766";"http://citymotors.com.ua/img/p/1/6/2/5/1625.jpg";"Techline 534S W5.5 PCD4x100 ET45 DIA54.1";"TL534SW5.5PCD4x100ET45DIA54.1";"Диски";"58.428435";"70.11";"12";"1";
"141";"http://citymotors.com.ua/img/p/2/7/0/270.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 63,4-58,1";"HCR634-581";"Центровочные кольца";"1.200000";"1.2";"20";"1";
"317";"http://citymotors.com.ua/img/p/6/5/8/658.jpg";"КОЛЬЦО ЦЕНТРОВОЧНОЕ 63,4-58,1";"HCR634-581";"Центровочные кольца";"1.200000";"1.2";"20";"1";
